苏美尔王表(SKL),王朝 (Dynasty),在位时间(Reign),在位年数(Regnal years),"甲骨文，周祭 （Oracle Bone Scripts ,  10-day Sacrifices)",都城（Captial),史记 (Shiji),夏商周断代工程 (Xia–Shang–Zhou Chronology Project),注释(Notes)
𒈩𒀭𒉌𒅆𒊒𒁕 (Mesh-Ane-pada)大丁（武丁）,乌尔 1 (Ur I),c. 2550 – c. 2525 BC,80,大丁,殷（Ur),,,丁帝命武
 𒈩𒆠𒉘𒉣 (Mesh-ki-ang-Nanna)廑 𒀀𒀭𒉌𒅆𒊒𒁕（Aannepada） 汤,,c. 2485 - c. 2450 BC,36,大乙,殷（Ur),汤 （建国后第一世）,约 1661 BC,大乙，汤，唐， 古帝命武
𒂊𒇻𒇻（Elulu）大甲,,c. 2445 BC,25,大甲,殷（Ur),太甲 （建国后第三世）,约 1645 BC,
𒁀𒇻𒇻 (Balulu)孔甲/小甲,,c. 2440 BC,36,小甲,殷（Ur),小甲 （建国后第五世）,约 1614 BC,
埃兰人王朝（Awan dynasty),,,,,,,,夷
基什第二王朝(Kish II),,,,,,,,冀
哈马子王朝(Dynasty of Hamazi),,,,,,,,
𒂗𒊮𒊨𒀭𒈾 (En-shag-kush-ana),乌鲁克 2   （Uruk II),,,,,,,
𒈗𒆠𒉌𒂠𒌌𒌌（Lugal-kinishe-dudu）,,c 2400 BC,,,,,,
"Lugal-kisalsi, also Lugaltarsi (𒈗𒆦𒋛, lugal-kisal-si, also 𒈗𒋻𒋛, lugal-tar-si",,,,,,帝喾,,
𒈾𒀭𒉌（Nanni）,乌尔 2     (Ur II),,,报丙,殷（Ur),报丙 （先公第十一世）,约 1600BC 之前,
𒈩𒆠𒉘𒉣 Mesh-ki-ang-Nanna II 廑二世,,,,报丁,殷（Ur),报丁（先公第九世）,约 1600BC 之前,
阿达布王朝（Dynasty of Adab）,,c. 2400 BC,,,,,,史记，夏王，槐 = 芬 = 芒 = 荒
马里王朝(Dynasty of Mari),,,,,,,,有扈氏
基什第三王朝(Kish III),,,,,,,,冀
阿克沙克王朝（Dynasty of Akshak）,,,,,,,,有易
基什第四王朝(Kish IV),,,,,,,,冀
𒈗𒍠𒄀𒋛（Lugal-Zage-Si）,乌鲁克 3   （Uruk III),,,,,,,"介/界/边/右边/肩膀  祀  角， 历史真相：卢加尔扎克西是温马（Umma）的起义者，后来占据了乌鲁克，建立了极其短暂的乌鲁克第三王朝，随后就被阿卡德的萨尔贡彻底灭掉并游街示众。

血统绝缘：大邑商的核心王族是乌尔第三王朝（Ur III）。商王族（上甲=Ur-Nammu，报乙=Shulgi）的直接血统和法统，根本不经过卢加尔扎克西！他在苏美尔政治史上是一个“断代”的霸主，绝不可能被列入商代先公的正统庙号。"
阿卡德帝国 (Dynasty of Akkad),,,,,,,,
𒌨𒆸（Ur-nigin）,乌鲁克 4（Uruk IV),c. 2091? – 2061? BC,7,,,,,
𒌨𒄑𒇀 (Ur-gigir) 契,,c. 2200  BC,6,,,契（先公第一世）,约 1600BC 之前,"战车之王； 契 ，从丰，从刀，从犬（大）-> Ur 𒌨 Gi 𒄀 Gir 𒄈 ur-gigir 的王号 governor-general of the god Dumuzi, 𒌉𒍣,    Dumuzi is a mesopotamian deity of agriculture.   巧合的是， 季， 从禾， 从子，  禾（神）的儿子 "
