苏美尔王表,在位时间,在位年数,史记,竹书纪年在位年数,夏商周断代工程,注释
𒂗𒈨𒅕𒃸 (Enmerkar)尧,约BC2900-BC2650,420,尧,,,名字的意义： 头顶土篮子建设城市的大王
𒈗𒌉𒁕 (Lugalbanda)舜,,1200,舜,,,甲骨文：小小力力， 苏美尔： 小力大人
𒌉𒍣𒋗𒄩（Dumuzi-Shu-ha）鲧,,100,鲧,,,名字的意义： 用鱼线钓鱼的渔夫
𒀭𒄑𒂆𒈦 (DINGIR GILGAMESH)禹,,126,禹,45,约BC2070,“帝乙归妹”
𒌨𒀭𒉣𒃲 (Ur-Nungal)大康,约BC2650-BC2620,30,启,39,,启 ： 𒂗𒀕𒆠 (Urug-KI-EN)   乌鲁克（夏）的领主， 太康的王号
,,,太康,,,
𒌋𒊨𒌦𒈠(Udul-kalama) 相,约BC2620-BC2605,15,中康,7,,名字不匹配， 领土上的牧羊人，  十 误读为木， 口误读为目， 相。 
𒆷𒁀𒀪𒋳 (La-ba'shum)羿,约BC2605-BC2596,9,相,,,
𒂗𒉣𒁰𒀭𒈾 (En-nun-tarah-ana)羊康,约BC2596-BC2588,8,少康,,,这哪里是什么“少康曾经去放过羊”的感人故事！这是这位君王名字中携带的“羊 (Tarah)”与“康 (Nun)”的符号。
𒈩𒃶 (Mesh-he)杼,约BC2588-BC2552,36,予,,,名字的意义：锻造者/金属工匠
,,,槐,芬发 ,,Lugal-Anne-Mundu (Sumerian: 𒈗𒀭𒉌𒈬𒌦𒆕 有可能是槐， 从木， 从领土（像田）， 从钉（像田下面的人）阿达布（Adab）王朝唯一的一位国王
,,,芒,荒 58,,槐 = 芬 = 芒 = 荒 = 𒈗𒀭𒉌𒈬𒌦𒆕 = 𒈬 木 ， 草字头； 𒌦𒆕 = 鬼，亡，分 ，亡川；
,,,泄,21,,Dudu the Great King of Akkad 𒁺𒁺 𒁕𒈝 𒈗 𒀀𒂵𒉈𒆠 这个就是“泄“ ， 𒈗王 𒀀 三点水 𒂵 三角，误读为 ”世“
𒈨𒉈𒀭𒈾(Melem-ana)不降,约BC2552-BC2546,6,不降,19,,
,,,扃,,,扃（Urug-ki / 乌鲁克城）
,,,廑,胤甲 40,,"Meskiagnun / 大乙汤的王表名𒈩𒆠𒉘𒉣 ，𒈩甘 𒆠口 𒉘 广，火， 𒉣 土。 elulu 𒂊𒇻𒇻 胤甲, 𒇻 甲， 𒂊 e = 𒀀 (e₄) = 后代= 胤 ， 乌尔第一王朝第三位统治者"
,,,孔甲,,,𒁀𒇻𒇻 (Balulu)， 乌尔第一王朝的殷王  约 BC2440
,,,皋,3,,"Udzid ,  诺亚， 太皞，太昊，皋陶。 大洪水幸存者的陶城的大王"
,,,發,44,,"Shu-durul, 𒋗𒄙𒄒 ， 𒋗 ， 两个手就是癸， 𒄙绳套，误读为殳。 𒄒 马缰绳， 误读为弓。 "
𒈗𒆠𒂅 (Lugal-kitun)桀,约BC2546-BC2510,36,桀 （履癸）,,约BC1600,名字的意义：地 + 斧
,,禹至桀 140年,,禹至桀 471年,禹至桀 470年,
,,,,,,
,,,,,,
.,,,,,,
